region,province
North China,Beijing
North China,Tianjin
North China,Hebei
North China,Shanxi
North China,Inner Mongolia
Northeast China,Liaoning
Northeast China,Jilin
Northeast China,Heilongjiang
East China,Shanghai
East China,Jiangsu
East China,Zhejiang
East China,Anhui
East China,Fujian
East China,Taiwan
East China,Jiangxi
East China,Shandong
South Central China,Henan
South Central China,Hubei
South Central China,Hunan
South Central China,Guangdong
South Central China,Guangxi
South Central China,Hainan
South Central China,Hong Kong
South Central China,Macau
Southwest China,Chongqing
Southwest China,Sichuan
Southwest China,Guizhou
Southwest China,Yunnan
Southwest China,Tibet
Northwest China,Shaanxi
Northwest China,Gansu
Northwest China,Qinghai
Northwest China,Ningxia
Northwest China,Xinjiang
